tradeNumber,entryDate,entryTime,exitDate,exitTime,assetClass,symbol,instrument,optionType,strikePrice,expiryDate,symbolPrice,action,quantity,lotSize,lotUnitSize,entryPremium,entryOrderType,exitPremium,exitOrderType,exitReason,earlyExit,isPlanned,planEntryPrice,planExitPrice,planStopLoss,planLotSize,planQuantity,planAction,planLotUnitSize,slModified,modifiedSL,slModificationReason,isTrailingSL,entryEmotions,entryEmotionNotes,inTradeEmotions,inTradeEmotionNotes,exitEmotions,exitEmotionNotes,postExitEmotions,postExitEmotionNotes,phase,allowedLotSize,setup,totalInvested,notes
1,02-12-2025,10:15,02-12-2025,11:58:00,Index,NIFTY,Options,call,23350,10-02-2026,25079,sell,130,2,65,183,limit,244,market,SL Hit,No,No,183,305,173,2,130,sell,65,No,182,Trailing SL,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Experienced emotional swings as price fluctuated.,anxious,"Exit was slightly delayed, gave back some profits.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,Breakout,23790,Solid trade with proper structure; entry timing could be refined.
2,02-12-2025,11:40,02-12-2025,12:43:00,Index,NIFTY,Options,call,23300,03-04-2026,25681,buy,65,1,65,132,market,202,limit,Manual Exit,Yes,Yes,132,186,118,1,65,buy,65,No,127,Manual Exit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Confidence increased as trade moved in favor.,confident,"Followed exit rules properly, no regret.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,EMA Support,8580,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
3,02-12-2025,12:25,02-12-2025,15:08:00,Index,NIFTY,Options,call,24350,30-01-2026,24726,buy,65,1,65,76,limit,119,market,SL Hit,Yes,Yes,76,176,56,1,65,buy,65,No,75,Structure Change,No,confident,Felt confident entering as setup matched plan and market structure supported the direction.,confident,"Stayed calm and followed plan, no urge to interfere.",calm,"Exited early due to fear of reversal, missed full move.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Range Reversal,4940,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
4,03-12-2025,11:30,03-12-2025,14:15:00,Index,NIFTY,Options,call,24750,13-02-2026,23677,buy,65,1,65,128,limit,245,market,Manual Exit,No,No,128,188,109,1,65,buy,65,No,121,Trailing SL,No,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,Confidence increased as trade moved in favor.,anxious,"Exited early due to fear of reversal, missed full move.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,EMA Support,8320,Clean execution in line with system; no major emotional interference observed.
5,04-12-2025,14:10,04-12-2025,17:03:00,Index,NIFTY,Options,put,23600,14-03-2026,22498,sell,65,1,65,194,limit,280,limit,SL Hit,No,Yes,194,305,187,1,65,sell,65,Yes,187,Trailing SL,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,Confidence increased as trade moved in favor.,anxious,"Exited as per target, well executed trade.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-001,2,Breakdown,12610,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
6,08-12-2025,09:40,08-12-2025,09:55:00,Index,NIFTY,Options,put,23100,04-01-2026,22197,buy,65,1,65,100,limit,140,limit,Target,No,Yes,100,220,82,1,65,buy,65,No,94,Structure Change,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,confident,"Felt anxious during pullback, considered early exit but held.",calm,"Exited as per target, well executed trade.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,Range Reversal,6500,Market was choppy; managed risk well but opportunity sizing could improve.
7,08-12-2025,10:25,08-12-2025,11:42:00,Index,NIFTY,Options,put,25700,28-03-2026,22585,sell,65,1,65,132,market,1,market,Target,Yes,Yes,132,222,127,1,65,sell,65,Yes,125,Manual Exit,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,Confidence increased as trade moved in favor.,confident,Closed position based on price action change.,calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-001,2,Breakout,8580,Overall consistent execution; focus on reducing hesitation going forward.
8,08-12-2025,13:10,08-12-2025,14:48:00,Index,NIFTY,Options,call,24450,18-01-2026,22249,sell,130,2,65,199,market,271,limit,SL Hit,Yes,No,199,258,183,2,130,sell,65,No,194,Target Hit,No,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-001,2,Double Top,25870,Overall consistent execution; focus on reducing hesitation going forward.
9,09-12-2025,13:50,09-12-2025,16:06:00,Index,NIFTY,Options,call,23200,29-01-2026,22539,sell,65,1,65,163,market,124,market,Target,No,Yes,163,251,149,1,65,sell,65,Yes,160,Target Hit,Yes,confident,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exit was slightly delayed, gave back some profits.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-001,2,Double Top,10595,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
10,10-12-2025,09:15,10-12-2025,09:20:00,Index,NIFTY,Options,call,25200,30-12-2025,24394,sell,130,2,65,191,limit,229,limit,Manual Exit,Yes,No,191,319,186,2,130,sell,65,Yes,186,Structure Change,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited early due to fear of reversal, missed full move.",anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-001,2,Breakout,24830,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
11,11-12-2025,11:10,11-12-2025,13:52:00,Index,NIFTY,Options,put,23500,31-03-2026,25981,sell,65,1,65,161,market,86,market,Manual Exit,No,Yes,161,287,144,1,65,sell,65,Yes,158,Manual Exit,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Experienced emotional swings as price fluctuated.,anxious,"Followed exit rules properly, no regret.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,EMA Support,10465,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
12,12-12-2025,13:40,12-12-2025,15:51:00,Index,NIFTY,Options,call,22650,05-03-2026,25833,buy,130,2,65,196,limit,233,limit,Manual Exit,Yes,No,196,254,190,2,130,buy,65,Yes,195,Trailing SL,No,confident,"Entered early anticipating breakout, slightly aggressive decision.",calm,Experienced emotional swings as price fluctuated.,calm,"Exit was slightly delayed, gave back some profits.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Breakout,25480,Execution improving; still need to trust setups more during volatility.
13,15-12-2025,12:00,15-12-2025,12:37:00,Index,NIFTY,Options,put,23800,19-03-2026,24407,sell,65,1,65,129,market,103,market,Target,Yes,No,129,256,114,1,65,sell,65,No,122,Manual Exit,No,confident,Calm and patient entry after waiting for confirmation candle.,anxious,Confidence increased as trade moved in favor.,confident,"Followed exit rules properly, no regret.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Breakdown,8385,Good discipline overall; however exit was slightly early due to fear of reversal.
14,15-12-2025,13:35,15-12-2025,16:33:00,Index,NIFTY,Options,call,22500,15-01-2026,23530,sell,65,1,65,197,market,218,limit,Target,Yes,Yes,197,326,184,1,65,sell,65,No,192,Time Exit,Yes,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",anxious,"Felt anxious during pullback, considered early exit but held.",anxious,"Exit was slightly delayed, gave back some profits.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-001,2,Breakdown,12805,Good discipline overall; however exit was slightly early due to fear of reversal.
15,16-12-2025,09:15,16-12-2025,10:54:00,Index,NIFTY,Options,put,23900,08-01-2026,23858,buy,130,2,65,40,limit,38,market,SL Hit,No,No,40,121,21,2,130,buy,65,Yes,38,Structure Change,No,calm,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,Confidence increased as trade moved in favor.,confident,Closed position based on price action change.,anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-001,2,Double Top,5200,Solid trade with proper structure; entry timing could be refined.
16,16-12-2025,10:40,16-12-2025,12:00:00,Index,NIFTY,Options,put,25050,14-03-2026,23545,buy,130,2,65,45,market,184,limit,Manual Exit,Yes,No,45,139,26,2,130,buy,65,No,41,Structure Change,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",anxious,"Disciplined throughout, no unnecessary adjustments.",calm,Closed position based on price action change.,anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-001,2,Breakout,5850,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
17,18-12-2025,13:10,18-12-2025,13:27:00,Index,NIFTY,Options,put,24250,20-03-2026,24716,buy,65,1,65,147,market,159,limit,Manual Exit,Yes,Yes,147,220,130,1,65,buy,65,Yes,143,Manual Exit,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,Confidence increased as trade moved in favor.,confident,"Exited as per target, well executed trade.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-001,2,Range Reversal,9555,Market was choppy; managed risk well but opportunity sizing could improve.
18,18-12-2025,14:30,18-12-2025,15:33:00,Index,NIFTY,Options,call,22250,23-03-2026,24154,sell,130,2,65,70,limit,1,limit,Manual Exit,Yes,No,70,200,55,2,130,sell,65,No,65,Manual Exit,Yes,anxious,Calm and patient entry after waiting for confirmation candle.,anxious,Experienced emotional swings as price fluctuated.,anxious,"Followed exit rules properly, no regret.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Breakdown,9100,Good risk control; exit decision lacked conviction and left some profits.
19,19-12-2025,10:05,19-12-2025,12:20:00,Index,NIFTY,Options,put,23150,08-02-2026,23018,sell,65,1,65,110,limit,165,market,Manual Exit,Yes,Yes,110,237,99,1,65,sell,65,Yes,102,Time Exit,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",anxious,"Stayed calm and followed plan, no urge to interfere.",calm,"Exit was slightly delayed, gave back some profits.",confident,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,Breakdown,7150,Solid trade with proper structure; entry timing could be refined.
20,19-12-2025,13:00,19-12-2025,14:23:00,Index,NIFTY,Options,put,22450,30-03-2026,25531,sell,65,1,65,41,limit,37,limit,Target,No,No,41,99,32,1,65,sell,65,No,36,Manual Exit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Stayed calm and followed plan, no urge to interfere.",calm,"Followed exit rules properly, no regret.",anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-001,2,Breakout,2665,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
21,19-12-2025,14:05,19-12-2025,14:59:00,Index,NIFTY,Options,put,22300,01-04-2026,23935,sell,130,2,65,157,limit,241,limit,Target,No,Yes,157,223,143,2,130,sell,65,No,148,Target Hit,No,anxious,"Entered early anticipating breakout, slightly aggressive decision.",confident,Confidence increased as trade moved in favor.,anxious,"Exited early due to fear of reversal, missed full move.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Breakdown,20410,Overall consistent execution; focus on reducing hesitation going forward.
22,22-12-2025,13:20,22-12-2025,15:02:00,Index,NIFTY,Options,put,23550,25-02-2026,25266,buy,130,2,65,56,market,229,market,SL Hit,Yes,No,56,113,44,2,130,buy,65,Yes,47,Trailing SL,No,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-001,2,Double Top,7280,Held according to plan; minor emotional discomfort during pullbacks.
23,26-12-2025,10:45,26-12-2025,11:49:00,Index,NIFTY,Options,call,23350,26-12-2025,22518,sell,130,2,65,50,market,88,limit,Manual Exit,Yes,No,50,150,31,2,130,sell,65,Yes,45,Target Hit,No,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,"Disciplined throughout, no unnecessary adjustments.",calm,"Followed exit rules properly, no regret.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Range Reversal,6500,Clean execution in line with system; no major emotional interference observed.
24,29-12-2025,09:15,29-12-2025,10:19:00,Index,NIFTY,Options,put,25850,09-02-2026,23835,buy,130,2,65,53,limit,64,limit,Manual Exit,Yes,Yes,53,149,33,2,130,buy,65,Yes,43,Trailing SL,No,confident,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Disciplined throughout, no unnecessary adjustments.",calm,"Exited early due to fear of reversal, missed full move.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-001,2,EMA Support,6890,Clean execution in line with system; no major emotional interference observed.
25,29-12-2025,11:05,29-12-2025,12:59:00,Index,NIFTY,Options,put,23550,09-02-2026,24123,sell,65,1,65,115,limit,188,limit,Target,No,No,115,232,103,1,65,sell,65,No,113,Target Hit,No,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,Confidence increased as trade moved in favor.,calm,"Exited early due to fear of reversal, missed full move.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-001,2,Breakout,7475,Overall consistent execution; focus on reducing hesitation going forward.
26,29-12-2025,13:25,29-12-2025,15:43:00,Index,NIFTY,Options,call,25500,21-01-2026,24369,buy,65,1,65,47,limit,74,limit,Manual Exit,No,Yes,47,149,40,1,65,buy,65,No,42,Manual Exit,No,confident,Calm and patient entry after waiting for confirmation candle.,anxious,"Stayed calm and followed plan, no urge to interfere.",calm,"Exit was slightly delayed, gave back some profits.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Breakout,3055,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
27,30-12-2025,10:35,30-12-2025,12:28:00,Index,NIFTY,Options,put,24400,04-03-2026,23262,sell,65,1,65,109,market,108,market,SL Hit,Yes,No,109,241,94,1,65,sell,65,No,105,Time Exit,No,anxious,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,"Stayed calm and followed plan, no urge to interfere.",confident,"Exited as per target, well executed trade.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-001,2,Double Top,7085,Overall consistent execution; focus on reducing hesitation going forward.
28,31-12-2025,10:55,31-12-2025,13:38:00,Index,NIFTY,Options,put,25900,01-02-2026,23307,sell,130,2,65,50,market,101,limit,SL Hit,Yes,No,50,167,33,2,130,sell,65,Yes,48,Manual Exit,No,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Experienced emotional swings as price fluctuated.,confident,"Exit was slightly delayed, gave back some profits.",anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-001,2,Range Reversal,6500,Overall consistent execution; focus on reducing hesitation going forward.
29,31-12-2025,12:50,31-12-2025,14:16:00,Index,NIFTY,Options,put,22500,18-01-2026,25650,sell,130,2,65,141,market,51,market,Manual Exit,No,No,141,194,129,2,130,sell,65,No,136,Time Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Confidence increased as trade moved in favor.,confident,Closed position based on price action change.,confident,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-001,2,Breakdown,18330,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
30,01-01-2026,10:55,01-01-2026,11:13:00,Index,NIFTY,Options,put,24750,12-01-2026,23330,buy,260,4,65,116,market,179,market,SL Hit,Yes,No,116,266,106,4,260,buy,65,No,107,Manual Exit,No,calm,Calm and patient entry after waiting for confirmation candle.,calm,Experienced emotional swings as price fluctuated.,calm,"Followed exit rules properly, no regret.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,EMA Support,30160,Good risk control; exit decision lacked conviction and left some profits.
31,01-01-2026,13:00,01-01-2026,15:16:00,Index,NIFTY,Options,put,24150,25-01-2026,25483,buy,260,4,65,27,market,1,market,SL Hit,Yes,No,27,130,22,4,260,buy,65,No,24,Structure Change,Yes,anxious,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Felt anxious during pullback, considered early exit but held.",anxious,Closed position based on price action change.,confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,Range Reversal,7020,Market was choppy; managed risk well but opportunity sizing could improve.
32,02-01-2026,11:20,02-01-2026,12:35:00,Index,NIFTY,Options,put,25900,16-01-2026,23543,buy,65,1,65,93,market,74,limit,SL Hit,Yes,Yes,93,177,87,1,65,buy,65,No,91,Target Hit,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Felt anxious during pullback, considered early exit but held.",anxious,Closed position based on price action change.,anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Range Reversal,6045,Good risk control; exit decision lacked conviction and left some profits.
33,05-01-2026,13:15,05-01-2026,16:07:00,Index,NIFTY,Options,put,23600,19-01-2026,25140,sell,65,1,65,54,limit,1,limit,Manual Exit,Yes,No,54,177,40,1,65,sell,65,No,49,Structure Change,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",calm,Experienced emotional swings as price fluctuated.,confident,"Exit was slightly delayed, gave back some profits.",anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Range Reversal,3510,Held according to plan; minor emotional discomfort during pullbacks.
34,05-01-2026,13:25,05-01-2026,16:21:00,Index,NIFTY,Options,put,23250,02-02-2026,23445,sell,195,3,65,25,market,1,limit,Manual Exit,Yes,Yes,25,166,11,3,195,sell,65,Yes,15,Target Hit,No,calm,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,"Stayed calm and followed plan, no urge to interfere.",confident,Closed position based on price action change.,calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Double Top,4875,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
35,05-01-2026,13:30,05-01-2026,15:00:00,Index,NIFTY,Options,call,24350,27-01-2026,23172,sell,195,3,65,120,limit,189,limit,SL Hit,Yes,Yes,120,190,111,3,195,sell,65,No,117,Trailing SL,No,calm,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Disciplined throughout, no unnecessary adjustments.",confident,"Followed exit rules properly, no regret.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Double Top,23400,Solid trade with proper structure; entry timing could be refined.
36,05-01-2026,13:40,05-01-2026,16:23:00,Index,NIFTY,Options,call,25650,30-01-2026,22768,sell,260,4,65,63,limit,10,limit,SL Hit,No,Yes,63,197,43,4,260,sell,65,No,59,Trailing SL,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Followed exit rules properly, no regret.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,EMA Support,16380,Good discipline overall; however exit was slightly early due to fear of reversal.
37,05-01-2026,14:05,05-01-2026,15:06:00,Index,NIFTY,Options,call,24450,30-01-2026,24475,buy,260,4,65,74,market,80,market,Target,No,Yes,74,191,64,4,260,buy,65,Yes,64,Manual Exit,No,calm,"Entered early anticipating breakout, slightly aggressive decision.",anxious,"Stayed calm and followed plan, no urge to interfere.",calm,"Exited early due to fear of reversal, missed full move.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Range Reversal,19240,Market was choppy; managed risk well but opportunity sizing could improve.
38,06-01-2026,09:55,06-01-2026,10:44:00,Index,NIFTY,Options,call,25750,12-01-2026,24264,buy,65,1,65,146,market,104,limit,Manual Exit,Yes,No,146,245,138,1,65,buy,65,No,144,Time Exit,Yes,calm,"Entered with slight hesitation due to recent losses, but setup was valid.",anxious,Experienced emotional swings as price fluctuated.,confident,"Followed exit rules properly, no regret.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Double Top,9490,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
39,06-01-2026,12:00,06-01-2026,13:34:00,Index,NIFTY,Options,put,24600,29-01-2026,25584,buy,260,4,65,22,limit,130,market,Manual Exit,No,No,22,107,12,4,260,buy,65,No,14,Target Hit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Experienced emotional swings as price fluctuated.,confident,"Exit was slightly delayed, gave back some profits.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Breakdown,5720,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
40,06-01-2026,13:00,06-01-2026,15:20:00,Index,NIFTY,Options,call,24100,14-01-2026,23695,sell,195,3,65,37,limit,77,market,Manual Exit,Yes,No,37,125,19,3,195,sell,65,Yes,35,Structure Change,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",calm,Closed position based on price action change.,confident,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Double Top,7215,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
41,07-01-2026,09:10,07-01-2026,09:48:00,Index,NIFTY,Options,put,23150,03-02-2026,25377,sell,260,4,65,120,market,118,market,Manual Exit,No,No,120,179,106,4,260,sell,65,No,111,Time Exit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exit was slightly delayed, gave back some profits.",anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Range Reversal,31200,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
42,08-01-2026,10:00,08-01-2026,10:40:00,Index,NIFTY,Options,put,23000,25-01-2026,24315,buy,65,1,65,149,market,218,limit,Target,No,Yes,149,247,137,1,65,buy,65,No,139,Time Exit,No,confident,"Entered early anticipating breakout, slightly aggressive decision.",anxious,Confidence increased as trade moved in favor.,calm,"Exited early due to fear of reversal, missed full move.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakdown,9685,Solid trade with proper structure; entry timing could be refined.
43,09-01-2026,14:40,09-01-2026,16:01:00,Index,NIFTY,Options,put,23700,23-01-2026,23415,sell,260,4,65,119,limit,121,limit,Manual Exit,Yes,No,119,240,101,4,260,sell,65,No,114,Trailing SL,Yes,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Experienced emotional swings as price fluctuated.,calm,"Followed exit rules properly, no regret.",anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Range Reversal,30940,Held according to plan; minor emotional discomfort during pullbacks.
44,12-01-2026,09:30,12-01-2026,11:48:00,Index,NIFTY,Options,put,23400,15-01-2026,24103,sell,130,2,65,26,limit,1,market,SL Hit,Yes,Yes,26,108,13,2,130,sell,65,Yes,21,Target Hit,Yes,anxious,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,3380,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
45,12-01-2026,11:30,12-01-2026,12:49:00,Index,NIFTY,Options,call,25400,01-02-2026,25022,buy,65,1,65,194,market,192,market,Manual Exit,No,No,194,320,179,1,65,buy,65,Yes,190,Target Hit,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Confidence increased as trade moved in favor.,anxious,"Exit was slightly delayed, gave back some profits.",confident,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,EMA Support,12610,Clean execution in line with system; no major emotional interference observed.
46,12-01-2026,14:05,12-01-2026,14:54:00,Index,NIFTY,Options,call,24550,27-01-2026,22908,buy,195,3,65,54,limit,61,market,Target,Yes,No,54,186,46,3,195,buy,65,No,52,Manual Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exit was slightly delayed, gave back some profits.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Range Reversal,10530,Held according to plan; minor emotional discomfort during pullbacks.
47,13-01-2026,12:45,13-01-2026,15:39:00,Index,NIFTY,Options,put,23700,06-02-2026,25299,buy,195,3,65,145,limit,91,market,SL Hit,No,No,145,264,128,3,195,buy,65,No,137,Structure Change,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Stayed calm and followed plan, no urge to interfere.",confident,"Exited early due to fear of reversal, missed full move.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,28275,Held according to plan; minor emotional discomfort during pullbacks.
48,15-01-2026,10:50,15-01-2026,12:49:00,Index,NIFTY,Options,put,25550,12-01-2026,22127,buy,195,3,65,91,market,277,limit,Target,Yes,No,91,154,72,3,195,buy,65,Yes,82,Structure Change,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Disciplined throughout, no unnecessary adjustments.",calm,"Followed exit rules properly, no regret.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,EMA Support,17745,Solid trade with proper structure; entry timing could be refined.
49,15-01-2026,12:40,15-01-2026,12:58:00,Index,NIFTY,Options,call,25150,08-01-2026,25440,sell,195,3,65,22,limit,110,market,SL Hit,No,No,22,105,11,3,195,sell,65,No,21,Target Hit,No,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Disciplined throughout, no unnecessary adjustments.",confident,"Exit was slightly delayed, gave back some profits.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,4290,Solid trade with proper structure; entry timing could be refined.
