tradeNumber,entryDate,entryTime,exitDate,exitTime,assetClass,symbol,instrument,optionType,strikePrice,expiryDate,symbolPrice,action,quantity,lotSize,lotUnitSize,entryPremium,entryOrderType,exitPremium,exitOrderType,exitReason,earlyExit,isPlanned,planEntryPrice,planExitPrice,planStopLoss,planLotSize,planQuantity,planAction,planLotUnitSize,slModified,modifiedSL,slModificationReason,isTrailingSL,entryEmotions,entryEmotionNotes,inTradeEmotions,inTradeEmotionNotes,exitEmotions,exitEmotionNotes,postExitEmotions,postExitEmotionNotes,phase,allowedLotSize,setup,totalInvested,notes
50,16-01-2026,12:15,16-01-2026,13:57:00,Index,NIFTY,Options,put,25750,25-01-2026,22187,sell,65,1,65,105,limit,162,market,Target,No,No,105,179,87,1,65,sell,65,No,95,Trailing SL,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Experienced emotional swings as price fluctuated.,anxious,"Exited as per target, well executed trade.",calm,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,Breakdown,6825,Good risk control; exit decision lacked conviction and left some profits.
51,19-01-2026,09:55,19-01-2026,11:57:00,Index,NIFTY,Options,put,25500,31-01-2026,24712,sell,195,3,65,45,market,43,market,SL Hit,No,No,45,190,40,3,195,sell,65,No,43,Time Exit,Yes,confident,Calm and patient entry after waiting for confirmation candle.,anxious,Experienced emotional swings as price fluctuated.,anxious,"Exited as per target, well executed trade.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Breakout,8775,Overall consistent execution; focus on reducing hesitation going forward.
52,19-01-2026,10:00,19-01-2026,12:10:00,Index,NIFTY,Options,call,23850,06-02-2026,22785,buy,260,4,65,168,market,175,market,Target,Yes,No,168,259,163,4,260,buy,65,No,163,Manual Exit,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exited as per target, well executed trade.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakdown,43680,Overall consistent execution; focus on reducing hesitation going forward.
53,19-01-2026,13:05,19-01-2026,15:04:00,Index,NIFTY,Options,call,23650,16-01-2026,24900,sell,65,1,65,60,limit,144,market,SL Hit,Yes,Yes,60,189,47,1,65,sell,65,Yes,56,Manual Exit,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,Confidence increased as trade moved in favor.,confident,"Followed exit rules properly, no regret.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Double Top,3900,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
54,19-01-2026,14:35,19-01-2026,17:04:00,Index,NIFTY,Options,call,23900,03-02-2026,23334,buy,195,3,65,188,limit,172,limit,Manual Exit,Yes,Yes,188,242,173,3,195,buy,65,No,182,Time Exit,No,calm,Calm and patient entry after waiting for confirmation candle.,confident,Experienced emotional swings as price fluctuated.,anxious,"Exit was slightly delayed, gave back some profits.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,EMA Support,36660,Execution improving; still need to trust setups more during volatility.
55,21-01-2026,12:25,21-01-2026,12:57:00,Index,NIFTY,Options,call,23750,10-01-2026,22592,sell,260,4,65,94,market,1,limit,Target,No,No,94,187,84,4,260,sell,65,No,91,Target Hit,No,anxious,Calm and patient entry after waiting for confirmation candle.,confident,"Disciplined throughout, no unnecessary adjustments.",confident,Closed position based on price action change.,calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Breakout,24440,Good discipline overall; however exit was slightly early due to fear of reversal.
56,21-01-2026,13:35,21-01-2026,15:54:00,Index,NIFTY,Options,call,23000,14-01-2026,24271,sell,130,2,65,182,limit,113,market,SL Hit,Yes,No,182,326,170,2,130,sell,65,Yes,181,Time Exit,No,anxious,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,Confidence increased as trade moved in favor.,confident,"Exited early due to fear of reversal, missed full move.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Double Top,23660,Market was choppy; managed risk well but opportunity sizing could improve.
57,22-01-2026,10:20,22-01-2026,13:20:00,Index,NIFTY,Options,put,25450,13-01-2026,22137,buy,65,1,65,157,limit,331,market,Manual Exit,No,Yes,157,268,141,1,65,buy,65,Yes,154,Target Hit,No,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,"Felt anxious during pullback, considered early exit but held.",confident,Closed position based on price action change.,anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Double Top,10205,Execution improving; still need to trust setups more during volatility.
58,23-01-2026,14:15,23-01-2026,16:40:00,Index,NIFTY,Options,call,24400,15-01-2026,22767,sell,130,2,65,182,limit,223,limit,SL Hit,No,Yes,182,289,166,2,130,sell,65,No,180,Manual Exit,No,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",anxious,Experienced emotional swings as price fluctuated.,confident,"Exit was slightly delayed, gave back some profits.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Breakdown,23660,Overall consistent execution; focus on reducing hesitation going forward.
59,26-01-2026,09:55,26-01-2026,11:44:00,Index,NIFTY,Options,call,23400,23-01-2026,25981,sell,65,1,65,22,limit,1,limit,Manual Exit,No,No,22,132,16,1,65,sell,65,Yes,19,Time Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Followed exit rules properly, no regret.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,Range Reversal,1430,Good discipline overall; however exit was slightly early due to fear of reversal.
60,26-01-2026,10:00,26-01-2026,10:45:00,Index,NIFTY,Options,call,22350,15-01-2026,23502,sell,195,3,65,35,limit,120,market,SL Hit,Yes,Yes,35,132,16,3,195,sell,65,Yes,31,Structure Change,No,calm,"Entered with slight hesitation due to recent losses, but setup was valid.",calm,"Stayed calm and followed plan, no urge to interfere.",calm,Closed position based on price action change.,calm,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Double Top,6825,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
61,26-01-2026,12:15,26-01-2026,13:41:00,Index,NIFTY,Options,call,24100,24-01-2026,25302,sell,260,4,65,24,limit,37,market,Manual Exit,Yes,No,24,120,12,4,260,sell,65,No,21,Structure Change,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Experienced emotional swings as price fluctuated.,anxious,"Exited early due to fear of reversal, missed full move.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,Range Reversal,6240,Solid trade with proper structure; entry timing could be refined.
62,26-01-2026,12:45,26-01-2026,15:42:00,Index,NIFTY,Options,call,23000,20-01-2026,25301,sell,195,3,65,143,market,173,limit,Target,Yes,Yes,143,253,133,3,195,sell,65,Yes,138,Time Exit,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Confidence increased as trade moved in favor.,calm,"Exit was slightly delayed, gave back some profits.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,EMA Support,27885,Held according to plan; minor emotional discomfort during pullbacks.
63,27-01-2026,14:35,27-01-2026,15:31:00,Index,NIFTY,Options,call,22350,24-01-2026,25276,sell,65,1,65,27,limit,1,limit,Target,No,No,27,84,18,1,65,sell,65,Yes,20,Target Hit,No,anxious,"Entered early anticipating breakout, slightly aggressive decision.",calm,Confidence increased as trade moved in favor.,anxious,Closed position based on price action change.,calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,EMA Support,1755,Good risk control; exit decision lacked conviction and left some profits.
64,03-02-2026,09:40,03-02-2026,09:49:00,Index,NIFTY,Options,put,22250,10-02-2026,23748,buy,65,1,65,118,market,19,market,SL Hit,No,No,118,204,111,1,65,buy,65,Yes,114,Structure Change,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,calm,Experienced emotional swings as price fluctuated.,confident,"Followed exit rules properly, no regret.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,EMA Support,7670,Held according to plan; minor emotional discomfort during pullbacks.
65,03-02-2026,10:30,03-02-2026,10:59:00,Index,NIFTY,Options,call,22150,27-02-2026,23884,sell,455,7,65,69,limit,1,limit,Target,No,No,69,211,56,7,455,sell,65,Yes,63,Target Hit,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Double Top,31395,Execution improving; still need to trust setups more during volatility.
66,04-02-2026,09:05,04-02-2026,11:55:00,Index,NIFTY,Options,put,23350,24-02-2026,25979,sell,520,8,65,85,limit,51,market,Target,Yes,Yes,85,227,65,8,520,sell,65,Yes,80,Manual Exit,Yes,calm,"Entered with slight hesitation due to recent losses, but setup was valid.",anxious,"Stayed calm and followed plan, no urge to interfere.",calm,"Exit was slightly delayed, gave back some profits.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Double Top,44200,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
67,04-02-2026,10:40,04-02-2026,12:23:00,Index,NIFTY,Options,call,24300,15-02-2026,22112,buy,130,2,65,64,limit,1,market,Target,Yes,Yes,64,122,59,2,130,buy,65,No,63,Trailing SL,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",calm,"Exited as per target, well executed trade.",anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,EMA Support,8320,Overall consistent execution; focus on reducing hesitation going forward.
68,04-02-2026,10:55,04-02-2026,13:43:00,Index,NIFTY,Options,call,23300,17-02-2026,23429,buy,325,5,65,185,limit,226,limit,Target,No,Yes,185,303,168,5,325,buy,65,No,184,Trailing SL,No,confident,Calm and patient entry after waiting for confirmation candle.,calm,Experienced emotional swings as price fluctuated.,anxious,"Exited early due to fear of reversal, missed full move.",anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Breakdown,60125,Solid trade with proper structure; entry timing could be refined.
69,05-02-2026,13:10,05-02-2026,15:53:00,Index,NIFTY,Options,call,25000,17-02-2026,22992,buy,65,1,65,141,market,176,market,Manual Exit,No,Yes,141,211,126,1,65,buy,65,Yes,133,Target Hit,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,confident,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,Double Top,9165,Overall consistent execution; focus on reducing hesitation going forward.
70,05-02-2026,13:20,05-02-2026,13:46:00,Index,NIFTY,Options,put,24650,11-02-2026,24192,buy,65,1,65,179,market,203,limit,Target,Yes,No,179,308,163,1,65,buy,65,No,173,Time Exit,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Disciplined throughout, no unnecessary adjustments.",confident,"Exit was slightly delayed, gave back some profits.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,Range Reversal,11635,Clean execution in line with system; no major emotional interference observed.
71,09-02-2026,10:35,09-02-2026,11:11:00,Index,NIFTY,Options,put,22550,07-03-2026,25444,buy,520,8,65,70,market,1,limit,Manual Exit,Yes,No,70,201,52,8,520,buy,65,No,62,Target Hit,No,anxious,"Entered with slight hesitation due to recent losses, but setup was valid.",anxious,Confidence increased as trade moved in favor.,calm,Closed position based on price action change.,calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,EMA Support,36400,Held according to plan; minor emotional discomfort during pullbacks.
72,09-02-2026,11:10,09-02-2026,14:03:00,Index,NIFTY,Options,call,25150,10-02-2026,25873,sell,325,5,65,88,limit,32,limit,Target,No,No,88,184,71,5,325,sell,65,No,80,Trailing SL,Yes,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Confidence increased as trade moved in favor.,confident,"Followed exit rules properly, no regret.",calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,EMA Support,28600,Overall consistent execution; focus on reducing hesitation going forward.
73,09-02-2026,12:50,09-02-2026,14:51:00,Index,NIFTY,Options,put,22450,06-03-2026,22437,sell,520,8,65,177,market,105,market,Manual Exit,No,No,177,233,169,8,520,sell,65,Yes,175,Time Exit,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Felt anxious during pullback, considered early exit but held.",calm,"Followed exit rules properly, no regret.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Breakout,92040,Execution improving; still need to trust setups more during volatility.
74,10-02-2026,11:20,10-02-2026,11:30:00,Index,NIFTY,Options,call,25450,07-03-2026,25570,buy,455,7,65,41,market,169,market,Manual Exit,No,Yes,41,133,28,7,455,buy,65,No,39,Manual Exit,Yes,anxious,Calm and patient entry after waiting for confirmation candle.,confident,"Disciplined throughout, no unnecessary adjustments.",confident,"Exited early due to fear of reversal, missed full move.",calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Double Top,18655,Execution improving; still need to trust setups more during volatility.
75,10-02-2026,13:40,10-02-2026,16:21:00,Index,NIFTY,Options,call,23500,23-02-2026,23384,sell,260,4,65,174,limit,55,limit,Manual Exit,No,No,174,263,169,4,260,sell,65,Yes,166,Manual Exit,No,calm,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,Experienced emotional swings as price fluctuated.,anxious,"Followed exit rules properly, no regret.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,EMA Support,45240,Clean execution in line with system; no major emotional interference observed.
76,11-02-2026,13:35,11-02-2026,15:40:00,Index,NIFTY,Options,put,22200,10-02-2026,23940,sell,195,3,65,25,limit,1,market,SL Hit,No,No,25,79,7,3,195,sell,65,Yes,20,Manual Exit,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Confidence increased as trade moved in favor.,calm,"Exited as per target, well executed trade.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Breakdown,4875,Market was choppy; managed risk well but opportunity sizing could improve.
77,12-02-2026,09:40,12-02-2026,10:15:00,Index,NIFTY,Options,put,24800,21-02-2026,24210,buy,325,5,65,163,market,351,market,SL Hit,No,No,163,297,153,5,325,buy,65,Yes,162,Trailing SL,No,confident,Calm and patient entry after waiting for confirmation candle.,confident,"Felt anxious during pullback, considered early exit but held.",calm,"Followed exit rules properly, no regret.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,Breakdown,52975,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
78,12-02-2026,12:10,12-02-2026,13:44:00,Index,NIFTY,Options,call,24300,05-03-2026,22946,sell,520,8,65,44,market,1,limit,SL Hit,Yes,Yes,44,102,36,8,520,sell,65,No,35,Structure Change,No,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,Experienced emotional swings as price fluctuated.,confident,"Exited early due to fear of reversal, missed full move.",calm,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Breakout,22880,Solid trade with proper structure; entry timing could be refined.
79,12-02-2026,12:50,12-02-2026,13:59:00,Index,NIFTY,Options,call,26000,15-02-2026,25771,sell,455,7,65,169,limit,238,market,Manual Exit,Yes,Yes,169,265,158,7,455,sell,65,Yes,162,Structure Change,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,calm,Confidence increased as trade moved in favor.,calm,"Followed exit rules properly, no regret.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,Double Top,76895,Good risk control; exit decision lacked conviction and left some profits.
80,12-02-2026,13:50,12-02-2026,15:27:00,Index,NIFTY,Options,put,23050,18-02-2026,22833,buy,65,1,65,93,limit,120,market,Manual Exit,No,No,93,209,85,1,65,buy,65,No,84,Manual Exit,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Experienced emotional swings as price fluctuated.,anxious,"Followed exit rules properly, no regret.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,Breakdown,6045,Held according to plan; minor emotional discomfort during pullbacks.
81,13-02-2026,10:00,13-02-2026,11:35:00,Index,NIFTY,Options,call,23800,20-02-2026,23259,sell,520,8,65,71,limit,145,market,SL Hit,Yes,No,71,161,63,8,520,sell,65,No,69,Trailing SL,No,confident,Calm and patient entry after waiting for confirmation candle.,calm,Experienced emotional swings as price fluctuated.,anxious,Closed position based on price action change.,confident,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Double Top,36920,Solid trade with proper structure; entry timing could be refined.
82,13-02-2026,11:35,13-02-2026,12:08:00,Index,NIFTY,Options,put,23400,16-02-2026,25163,sell,390,6,65,123,market,159,limit,SL Hit,Yes,Yes,123,228,111,6,390,sell,65,No,114,Manual Exit,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,"Stayed calm and followed plan, no urge to interfere.",confident,"Exited early due to fear of reversal, missed full move.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Breakdown,47970,Good discipline overall; however exit was slightly early due to fear of reversal.
83,16-02-2026,09:20,16-02-2026,10:00:00,Index,NIFTY,Options,call,25950,28-02-2026,25927,sell,455,7,65,60,market,1,limit,SL Hit,Yes,Yes,60,154,55,7,455,sell,65,No,58,Time Exit,No,anxious,"Entered early anticipating breakout, slightly aggressive decision.",calm,Confidence increased as trade moved in favor.,confident,"Exited as per target, well executed trade.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Breakdown,27300,Clean execution in line with system; no major emotional interference observed.
84,16-02-2026,09:50,16-02-2026,11:44:00,Index,NIFTY,Options,call,24000,22-02-2026,25532,buy,390,6,65,73,limit,243,market,Manual Exit,No,No,73,206,67,6,390,buy,65,No,64,Structure Change,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Experienced emotional swings as price fluctuated.,calm,Closed position based on price action change.,anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,EMA Support,28470,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
85,16-02-2026,12:30,16-02-2026,14:25:00,Index,NIFTY,Options,put,24650,09-02-2026,23450,buy,195,3,65,139,limit,107,market,SL Hit,No,Yes,139,249,124,3,195,buy,65,Yes,131,Manual Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Stayed calm and followed plan, no urge to interfere.",calm,Closed position based on price action change.,anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Double Top,27105,Held according to plan; minor emotional discomfort during pullbacks.
86,16-02-2026,12:50,16-02-2026,15:03:00,Index,NIFTY,Options,put,23200,13-02-2026,25716,buy,195,3,65,169,limit,130,market,Manual Exit,No,No,169,307,149,3,195,buy,65,No,160,Trailing SL,No,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exited as per target, well executed trade.",anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Double Top,32955,Market was choppy; managed risk well but opportunity sizing could improve.
87,16-02-2026,13:20,16-02-2026,13:45:00,Index,NIFTY,Options,put,24900,07-03-2026,24793,buy,65,1,65,153,limit,193,market,Target,No,No,153,234,148,1,65,buy,65,Yes,151,Trailing SL,No,confident,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",calm,"Exited early due to fear of reversal, missed full move.",confident,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,Breakout,9945,Clean execution in line with system; no major emotional interference observed.
88,16-02-2026,13:55,16-02-2026,15:46:00,Index,NIFTY,Options,put,22400,22-02-2026,22686,sell,455,7,65,164,limit,1,market,Manual Exit,Yes,Yes,164,287,152,7,455,sell,65,No,155,Structure Change,No,anxious,"Entered with slight hesitation due to recent losses, but setup was valid.",calm,"Felt anxious during pullback, considered early exit but held.",calm,"Exited early due to fear of reversal, missed full move.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Range Reversal,74620,Market was choppy; managed risk well but opportunity sizing could improve.
89,16-02-2026,14:05,16-02-2026,16:59:00,Index,NIFTY,Options,put,22900,14-02-2026,22378,buy,390,6,65,114,market,31,limit,Manual Exit,No,No,114,233,104,6,390,buy,65,No,113,Target Hit,Yes,calm,"Entered with slight hesitation due to recent losses, but setup was valid.",calm,"Disciplined throughout, no unnecessary adjustments.",calm,"Exited as per target, well executed trade.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Breakout,44460,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
90,17-02-2026,11:50,17-02-2026,14:00:00,Index,NIFTY,Options,call,25900,23-02-2026,24736,sell,520,8,65,167,limit,249,market,Manual Exit,No,Yes,167,285,149,8,520,sell,65,No,160,Time Exit,No,confident,Calm and patient entry after waiting for confirmation candle.,confident,"Stayed calm and followed plan, no urge to interfere.",confident,"Exited as per target, well executed trade.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,Breakout,86840,Solid trade with proper structure; entry timing could be refined.
91,18-02-2026,14:30,18-02-2026,15:57:00,Index,NIFTY,Options,put,22500,13-02-2026,22076,sell,195,3,65,176,limit,23,limit,SL Hit,No,Yes,176,259,158,3,195,sell,65,Yes,170,Structure Change,Yes,confident,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Felt anxious during pullback, considered early exit but held.",confident,"Exit was slightly delayed, gave back some profits.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-003,8,EMA Support,34320,Good discipline overall; however exit was slightly early due to fear of reversal.
92,19-02-2026,09:45,19-02-2026,11:16:00,Index,NIFTY,Options,call,24550,27-02-2026,25496,buy,390,6,65,36,limit,97,market,SL Hit,No,No,36,182,16,6,390,buy,65,Yes,27,Time Exit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Felt anxious during pullback, considered early exit but held.",anxious,Closed position based on price action change.,confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Double Top,14040,Market was choppy; managed risk well but opportunity sizing could improve.
93,23-02-2026,09:55,23-02-2026,11:37:00,Index,NIFTY,Options,call,24000,09-02-2026,24269,sell,455,7,65,78,limit,149,market,Manual Exit,Yes,Yes,78,208,67,7,455,sell,65,No,76,Trailing SL,No,confident,"Entered with slight hesitation due to recent losses, but setup was valid.",confident,Experienced emotional swings as price fluctuated.,confident,"Followed exit rules properly, no regret.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Breakdown,35490,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
94,23-02-2026,10:40,23-02-2026,11:54:00,Index,NIFTY,Options,put,25750,02-03-2026,25216,buy,455,7,65,107,limit,202,market,Manual Exit,No,Yes,107,251,96,7,455,buy,65,Yes,101,Manual Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",calm,"Felt anxious during pullback, considered early exit but held.",calm,"Exit was slightly delayed, gave back some profits.",calm,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,EMA Support,48685,Solid trade with proper structure; entry timing could be refined.
95,23-02-2026,11:25,23-02-2026,13:20:00,Index,NIFTY,Options,put,22750,08-02-2026,23090,sell,65,1,65,121,limit,1,limit,Target,Yes,Yes,121,263,106,1,65,sell,65,Yes,112,Trailing SL,No,calm,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,Experienced emotional swings as price fluctuated.,calm,"Exited early due to fear of reversal, missed full move.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Breakout,7865,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
96,23-02-2026,14:05,23-02-2026,15:35:00,Index,NIFTY,Options,call,25700,12-02-2026,23545,buy,65,1,65,154,market,301,limit,Target,Yes,Yes,154,300,138,1,65,buy,65,Yes,147,Trailing SL,Yes,calm,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,Experienced emotional swings as price fluctuated.,anxious,"Followed exit rules properly, no regret.",confident,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-003,8,Range Reversal,10010,Held according to plan; minor emotional discomfort during pullbacks.
97,24-02-2026,11:55,24-02-2026,12:39:00,Index,NIFTY,Options,call,25300,05-03-2026,23489,sell,520,8,65,185,market,197,market,Manual Exit,Yes,No,185,306,179,8,520,sell,65,Yes,176,Manual Exit,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",calm,"Disciplined throughout, no unnecessary adjustments.",confident,"Followed exit rules properly, no regret.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-003,8,Double Top,96200,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
98,27-02-2026,10:00,27-02-2026,11:06:00,Index,NIFTY,Options,put,24200,28-02-2026,22911,buy,65,1,65,126,limit,168,limit,Manual Exit,No,Yes,126,256,118,1,65,buy,65,No,125,Trailing SL,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",anxious,"Stayed calm and followed plan, no urge to interfere.",anxious,Closed position based on price action change.,anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-003,8,Range Reversal,8190,Good risk control; exit decision lacked conviction and left some profits.
99,27-02-2026,14:10,27-02-2026,15:18:00,Index,NIFTY,Options,call,23300,05-03-2026,23255,buy,65,1,65,72,market,240,limit,SL Hit,No,No,72,215,52,1,65,buy,65,Yes,71,Target Hit,Yes,anxious,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Felt anxious during pullback, considered early exit but held.",calm,"Followed exit rules properly, no regret.",anxious,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,Breakout,4680,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
100,27-02-2026,14:50,27-02-2026,15:26:00,Index,NIFTY,Options,put,22900,05-03-2026,25656,buy,130,2,65,136,limit,80,market,Target,Yes,No,136,189,120,2,130,buy,65,Yes,127,Structure Change,Yes,calm,"Entered early anticipating breakout, slightly aggressive decision.",calm,Confidence increased as trade moved in favor.,anxious,"Exited as per target, well executed trade.",calm,Review suggests minor improvements in timing.,IN-NF-OP-LV-003,8,EMA Support,17680,Solid trade with proper structure; entry timing could be refined.
